,code,Lat,Lon,he,geometry,dist,dist_to_france
3980,CHT2,41.671108147,-69.949742668,-10.3072279,POINT (-7786769.7349222815 4638806.539715474),570.4018723367803,1614609.8722235167
4032,CIRO,39.375575934,-342.867650466,51.8377395,POINT (1907164.42621726 4383269.0626647575),971.3113929632224,897099.8896933215
4042,CIVI,42.096193713,-348.21095524,74.9812134,POINT (1312350.459622312 4686126.848466164),871.9749329419352,248246.0818522829
4120,CLNE,52.842470375,-169.922521661,335.7272403,POINT (-18915688.585611515 5882396.894403643),938.7794697782458,7385471.76540354
4133,CLS3,-43.571490865,-187.243035849,95.7103576,POINT (19231217.280281138 -4850356.176195571),637.6406629980268,2367696.059277416
4134,CLS5,-43.565318224,-187.247752905,88.4843765,POINT (19230692.180009175 -4849669.040942601),279.5761735090538,2366975.5600193557
4135,CLS6,-43.5656575,-187.246720576,75.2534677,POINT (19230807.098347783 -4849706.808974159),394.17166237808607,2367020.869839117
4136,CLSF,52.793737991,-169.928072859,128.8953081,POINT (-18916306.542146172 5876972.030231621),354.2837782962746,7380012.839837046
4138,CLSK,-43.565828212,-187.247260759,91.8842981,POINT (19230746.96545129 -4849725.812547072),357.46749019109177,2367035.840960402
4188,CMRC,-18.614238996,-70.328172389,885.6449541,POINT (-7828896.338765043 -2072127.606539016),818.2207348075367,2913385.8636510787
4236,CN43,11.818772713,-64.598056704,-21.955489,POINT (-7191022.778524293 1315659.7602125965),111.6551659758401,491091.1967868112
4239,CN46,12.486834255,-61.426988325,-22.617495,POINT (-6838021.06130336 1390028.0308866054),211.6274762785528,222663.0749609073
4247,CN58,18.586565442,-63.426520887,-35.1982164,POINT (-7060608.00792977 2069047.0005992958),716.9101845113729,65156.13860402213
4295,COA1,22.120686322,-246.438616021,169.4307828,POINT (12641595.438321693 2462463.537362772),592.3930032781228,7255984.856619346
4377,COL8,22.12070988,-246.438735108,168.8452898,POINT (12641582.181617497 2462466.1598273357),605.6841570826609,7255996.717478227
4405,COMP,41.50013642,-71.152695992,-7.2038746,POINT (-7920681.886398037 4619774.054125787),772.0097798701722,1746776.6217532335
4436,COPR,34.414907126,-119.879524928,-22.8403499,POINT (-13344927.671524506 3831049.9369641226),560.2504085651323,2933576.8534701904
4462,CORX,32.415371255,-117.248179796,74.3218411,POINT (-13052007.671328906 3608462.621981517),248.42907536757747,2617685.8072530003
4481,COTA,-37.555841368,-210.24324806,22.9285902,POINT (16670845.368815385 -4180697.137398719),356.6736214022307,2472653.802583038
4494,COUP,48.217311045,-122.685604834,21.0360443,POINT (-13657299.057785664 5367526.512950285),540.7511915321593,4477824.744539817
4515,CPA1,-0.625126671,-259.867989495,0.1661695,POINT (11146644.421523316 -69588.78269701425),323.8468197311607,4844249.034289207
4528,CPMK,-7.655125223,-252.309489234,25.4584968,POINT (11988052.821738666 -852164.6417831047),688.2782154909384,4746833.512182568
4529,CPNM,10.72465116,-260.625622045,9.1474976,POINT (11062305.151848907 1193862.7060666909),842.3572665446954,5805624.337799806
4537,CPSR,-6.22601383,-254.166380842,30.8011102,POINT (11781344.593477802 -693076.6892274789),78.84857481927067,4720566.237223631
4566,CRCB,42.944667783,-9.190431562,64.9326255,POINT (-1023074.1616522699 4780578.549889861),304.1682359299013,754024.4323982374
